Angle,RT60,Mu_Inv,Zeta,SI_SDR_Imp
85,0.4,1.0,0.0001,-14.565
85,0.4,1.0,0.01,-14.395
88,0.0,0.0,1e-06,2.919
88,0.0,0.0,0.0001,2.986
88,0.0,0.0,0.01,4.681
88,0.0,0.1,1e-06,-7.144
88,0.0,0.1,0.0001,-7.119
88,0.0,0.1,0.01,-6.807
88,0.0,0.5,1e-06,-10.919
88,0.0,0.5,0.0001,-10.896
88,0.0,0.5,0.01,-10.583
88,0.0,1.0,1e-06,-12.588
88,0.0,1.0,0.0001,-12.565
88,0.0,1.0,0.01,-12.225
88,0.2,0.0,1e-06,2.565
88,0.2,0.0,0.0001,2.588
88,0.2,0.0,0.01,3.951
88,0.2,0.1,1e-06,-4.853
88,0.2,0.1,0.0001,-4.846
88,0.2,0.1,0.01,-4.612
88,0.2,0.5,1e-06,-8.82
88,0.2,0.5,0.0001,-8.815
88,0.2,0.5,0.01,-8.693
88,0.2,1.0,1e-06,-10.692
88,0.2,1.0,0.0001,-10.688
88,0.2,1.0,0.01,-10.602
88,0.4,0.0,1e-06,1.62
88,0.4,0.0,0.0001,1.69
88,0.4,0.0,0.01,4.315
88,0.4,0.1,1e-06,-10.181
88,0.4,0.1,0.0001,-10.159
88,0.4,0.1,0.01,-9.618
88,0.4,0.5,1e-06,-14.161
88,0.4,0.5,0.0001,-14.144
88,0.4,0.5,0.01,-13.776
88,0.4,1.0,1e-06,-15.96
88,0.4,1.0,0.0001,-15.944
88,0.4,1.0,0.01,-15.654
