Angle,RT60,Rho_avg,Eta_avg,Optimal_Mu_Inv,Optimal_Zeta,Max_SI_SDR
30,0.0,0.921568633047093,78.14690189345785,0.0,0.1,11.973567613263269
30,0.2,0.8063963224385351,26.74049794554655,0.0,0.1,9.026326849510454
30,0.4,0.9031423112487333,25.744379243685337,0.0,0.1,4.514073423838616
30,0.6,0.9143114216636707,17.804595079213325,0.0,0.1,3.1528606637604586
60,0.0,0.9086207753725158,89.92296061121537,0.0,0.01,11.559372258911482
60,0.2,0.8093953823796536,83.86073658434375,0.0,0.01,7.809009697340884
60,0.4,0.9453125801728708,39.05161565318627,0.0,0.1,3.726460461590497
60,0.6,0.9341249973042596,36.65799052306752,0.0,0.1,3.0785350102462505
80,0.0,0.8675182526702889,150.07444829118128,0.0,0.01,9.247039582800943
80,0.2,0.9583594747401876,78.89009883076525,0.0,0.1,4.811424583303487
80,0.4,0.9176191705230743,24.374716925189386,0.0,0.1,3.331937176716677
80,0.6,0.9675370541307723,23.033357291727004,0.0,0.1,1.8628984200490857
88,0.0,0.9979129726930328,572.8733706839176,0.0,0.01,2.54675539309591
88,0.2,0.9916684966280056,184.11347290759622,0.0,0.01,4.929262760788397
88,0.4,0.9698719653359218,104.77103908994276,0.0,0.1,3.179059922069472
88,0.6,0.9489826244980645,113.28925879479274,0.0,0.1,3.785284749756928
