Angle,Threat_Rho,Optimal_Mu_Inv,Max_SI_SDR
30,0.9999112204081654,0.0,4.944858225272677
45,0.9998782525947635,0.0,2.044311696303979
60,0.9999286339012254,0.0,3.0249799945915736
75,0.9999351619193253,0.0,4.086356667396186
80,0.9999076156896953,0.0,2.527361096556723
85,0.9998861899733187,0.0,3.9641379941421464
88,0.999949795379836,0.0,3.8316078704448175
