Angle,RT60,Mu_Inv,Zeta,SI_SDR_Imp
10,0.0,1.0,0.0001,-9.09
10,0.0,1.0,0.001,-9.012
10,0.0,1.0,0.01,-8.921
10,0.0,1.2,1e-06,-9.581
10,0.0,1.2,1e-05,-9.579
10,0.0,1.2,0.0001,-9.568
10,0.0,1.2,0.001,-9.487
10,0.0,1.2,0.01,-9.389
10,0.2,0.0,1e-06,5.394
10,0.2,0.0,1e-05,5.398
10,0.2,0.0,0.0001,5.435
10,0.2,0.0,0.001,5.744
10,0.2,0.0,0.01,7.134
10,0.2,0.2,1e-06,-7.378
10,0.2,0.2,1e-05,-7.377
10,0.2,0.2,0.0001,-7.37
10,0.2,0.2,0.001,-7.312
10,0.2,0.2,0.01,-7.116
10,0.2,0.5,1e-06,-9.796
10,0.2,0.5,1e-05,-9.795
10,0.2,0.5,0.0001,-9.789
10,0.2,0.5,0.001,-9.74
10,0.2,0.5,0.01,-9.582
10,0.2,0.8,1e-06,-11.097
10,0.2,0.8,1e-05,-11.097
10,0.2,0.8,0.0001,-11.091
10,0.2,0.8,0.001,-11.046
10,0.2,0.8,0.01,-10.901
10,0.2,1.0,1e-06,-11.732
10,0.2,1.0,1e-05,-11.731
10,0.2,1.0,0.0001,-11.726
10,0.2,1.0,0.001,-11.682
10,0.2,1.0,0.01,-11.542
10,0.2,1.2,1e-06,-12.259
10,0.2,1.2,1e-05,-12.259
10,0.2,1.2,0.0001,-12.253
10,0.2,1.2,0.001,-12.21
10,0.2,1.2,0.01,-12.074
10,0.4,0.0,1e-06,1.451
10,0.4,0.0,1e-05,1.454
10,0.4,0.0,0.0001,1.485
10,0.4,0.0,0.001,1.756
10,0.4,0.0,0.01,3.119
10,0.4,0.2,1e-06,-8.729
10,0.4,0.2,1e-05,-8.728
10,0.4,0.2,0.0001,-8.719
10,0.4,0.2,0.001,-8.637
10,0.4,0.2,0.01,-8.328
10,0.4,0.5,1e-06,-10.759
10,0.4,0.5,1e-05,-10.759
10,0.4,0.5,0.0001,-10.75
10,0.4,0.5,0.001,-10.678
10,0.4,0.5,0.01,-10.415
10,0.4,0.8,1e-06,-11.847
10,0.4,0.8,1e-05,-11.846
10,0.4,0.8,0.0001,-11.838
10,0.4,0.8,0.001,-11.771
10,0.4,0.8,0.01,-11.534
10,0.4,1.0,1e-06,-12.375
10,0.4,1.0,1e-05,-12.375
10,0.4,1.0,0.0001,-12.367
10,0.4,1.0,0.001,-12.303
10,0.4,1.0,0.01,-12.079
10,0.4,1.2,1e-06,-12.814
10,0.4,1.2,1e-05,-12.813
10,0.4,1.2,0.0001,-12.806
10,0.4,1.2,0.001,-12.744
10,0.4,1.2,0.01,-12.531
10,0.6,0.0,1e-06,2.407
10,0.6,0.0,1e-05,2.409
10,0.6,0.0,0.0001,2.434
10,0.6,0.0,0.001,2.654
10,0.6,0.0,0.01,3.771
10,0.6,0.2,1e-06,-10.706
10,0.6,0.2,1e-05,-10.705
10,0.6,0.2,0.0001,-10.697
10,0.6,0.2,0.001,-10.625
10,0.6,0.2,0.01,-10.308
10,0.6,0.5,1e-06,-12.784
10,0.6,0.5,1e-05,-12.784
10,0.6,0.5,0.0001,-12.776
10,0.6,0.5,0.001,-12.711
10,0.6,0.5,0.01,-12.427
10,0.6,0.8,1e-06,-13.843
10,0.6,0.8,1e-05,-13.842
10,0.6,0.8,0.0001,-13.835
10,0.6,0.8,0.001,-13.772
10,0.6,0.8,0.01,-13.507
10,0.6,1.0,1e-06,-14.346
10,0.6,1.0,1e-05,-14.345
10,0.6,1.0,0.0001,-14.338
10,0.6,1.0,0.001,-14.277
10,0.6,1.0,0.01,-14.02
10,0.6,1.2,1e-06,-14.758
10,0.6,1.2,1e-05,-14.757
10,0.6,1.2,0.0001,-14.75
10,0.6,1.2,0.001,-14.69
10,0.6,1.2,0.01,-14.441
20,0.0,0.0,1e-06,7.775
20,0.0,0.0,1e-05,7.778
20,0.0,0.0,0.0001,7.812
20,0.0,0.0,0.001,8.12
20,0.0,0.0,0.01,9.825
20,0.0,0.2,1e-06,-5.801
20,0.0,0.2,1e-05,-5.8
20,0.0,0.2,0.0001,-5.796
20,0.0,0.2,0.001,-5.756
20,0.0,0.2,0.01,-5.622
20,0.0,0.5,1e-06,-8.092
20,0.0,0.5,1e-05,-8.092
20,0.0,0.5,0.0001,-8.088
20,0.0,0.5,0.001,-8.051
20,0.0,0.5,0.01,-7.933
20,0.0,0.8,1e-06,-9.322
20,0.0,0.8,1e-05,-9.322
20,0.0,0.8,0.0001,-9.318
20,0.0,0.8,0.001,-9.283
20,0.0,0.8,0.01,-9.169
20,0.0,1.0,1e-06,-9.921
20,0.0,1.0,1e-05,-9.921
20,0.0,1.0,0.0001,-9.917
20,0.0,1.0,0.001,-9.882
20,0.0,1.0,0.01,-9.771
20,0.0,1.2,1e-06,-10.419
20,0.0,1.2,1e-05,-10.419
20,0.0,1.2,0.0001,-10.415
20,0.0,1.2,0.001,-10.381
20,0.0,1.2,0.01,-10.271
20,0.2,0.0,1e-06,5.816
20,0.2,0.0,1e-05,5.818
20,0.2,0.0,0.0001,5.835
20,0.2,0.0,0.001,5.988
20,0.2,0.0,0.01,6.745
20,0.2,0.2,1e-06,-7.0
20,0.2,0.2,1e-05,-7.0
20,0.2,0.2,0.0001,-6.993
20,0.2,0.2,0.001,-6.945
20,0.2,0.2,0.01,-6.773
20,0.2,0.5,1e-06,-9.436
20,0.2,0.5,1e-05,-9.435
20,0.2,0.5,0.0001,-9.429
20,0.2,0.5,0.001,-9.385
20,0.2,0.5,0.01,-9.229
20,0.2,0.8,1e-06,-10.714
20,0.2,0.8,1e-05,-10.713
20,0.2,0.8,0.0001,-10.708
20,0.2,0.8,0.001,-10.665
20,0.2,0.8,0.01,-10.521
20,0.2,1.0,1e-06,-11.331
20,0.2,1.0,1e-05,-11.331
20,0.2,1.0,0.0001,-11.325
20,0.2,1.0,0.001,-11.284
20,0.2,1.0,0.01,-11.147
20,0.2,1.2,1e-06,-11.842
20,0.2,1.2,1e-05,-11.841
20,0.2,1.2,0.0001,-11.836
20,0.2,1.2,0.001,-11.796
20,0.2,1.2,0.01,-11.664
20,0.4,0.0,1e-06,2.11
20,0.4,0.0,1e-05,2.11
20,0.4,0.0,0.0001,2.116
20,0.4,0.0,0.001,2.166
20,0.4,0.0,0.01,2.499
20,0.4,0.2,1e-06,-10.37
20,0.4,0.2,1e-05,-10.369
20,0.4,0.2,0.0001,-10.366
20,0.4,0.2,0.001,-10.333
20,0.4,0.2,0.01,-10.164
20,0.4,0.5,1e-06,-12.522
20,0.4,0.5,1e-05,-12.522
20,0.4,0.5,0.0001,-12.519
20,0.4,0.5,0.001,-12.488
20,0.4,0.5,0.01,-12.332
20,0.4,0.8,1e-06,-13.661
20,0.4,0.8,1e-05,-13.661
20,0.4,0.8,0.0001,-13.657
20,0.4,0.8,0.001,-13.628
20,0.4,0.8,0.01,-13.483
20,0.4,1.0,1e-06,-14.213
20,0.4,1.0,1e-05,-14.213
20,0.4,1.0,0.0001,-14.209
20,0.4,1.0,0.001,-14.181
20,0.4,1.0,0.01,-14.041
20,0.4,1.2,1e-06,-14.67
20,0.4,1.2,1e-05,-14.67
